campaign,click,click_pos,click_nb,cost,time_since_last_click,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,hour,day,pCTR
614,1,-1,-1,1.72508335006e-05,1793371,5,51,1366,10,2,12,4321,4,7,0,0,0.3394682842171119
446,1,-1,-1,0.000507591398187,189,4,14,190,7,43,2,3808,5,2,0,0,0.5212431606831955
213,0,-1,-1,2.77810215074e-05,-1,5,51,544,10,36,12,5278,4,15,0,0,0.4364845491382906
572,0,-1,-1,2.08399663137e-05,1921556,4,37,567,10,26,2,93,1,7,0,0,0.19977010248779442
373,1,-1,-1,0.00018178151732,183,5,14,1103,10,14,26,1291,4,2,0,0,0.637439189112749
415,0,-1,-1,9.11689768819e-05,-1,1,14,454,10,36,14,1841,4,15,0,0,0.3687199250022493
52,1,-1,-1,0.000380304806372,-1,0,51,762,10,45,26,1593,4,15,0,0,0.5320781348538461
281,0,-1,-1,0.000163820210625,-1,1,51,1206,10,36,2,3818,7,15,0,0,0.2800982802097363
552,0,-1,-1,0.000220859120874,-1,5,14,1384,10,36,0,4789,4,15,0,0,0.32012915055979596
594,0,-1,-1,3.10012588606e-05,-1,0,51,513,10,40,12,3061,4,15,0,0,0.295874030981543
93,0,-1,-1,7.35294117647e-05,-1,1,51,981,10,37,2,1342,5,15,0,0,0.3880567862579591
206,0,-1,-1,4.27679892849e-05,-1,1,51,1155,10,47,2,1035,1,15,0,0,0.24356816910735457
51,0,-1,-1,0.0023843611958,41176,5,51,874,10,36,24,5278,4,29,0,0,0.4371651816436691
162,1,-1,-1,0.000411824139789,2394,5,20,1253,10,43,12,1065,4,19,0,0,0.5595969619445016
196,0,-1,-1,2.64705892872e-05,-1,5,51,1028,10,45,2,1626,3,15,0,0,0.27469394153327786
399,0,-1,-1,1e-05,-1,5,14,918,10,0,2,2845,4,15,0,0,0.601741523260699
123,1,-1,-1,0.000746582583782,568115,5,51,637,10,2,2,4275,6,27,0,0,0.5090586968230132
315,0,-1,-1,2.94117651441e-05,-1,5,51,724,10,2,12,5278,4,15,0,0,0.4403795717809414
81,1,-1,-1,4.03610341862e-05,554487,5,35,1220,10,32,12,3905,4,27,0,0,0.3233005480795099
446,0,-1,-1,1.47058825721e-05,-1,4,14,190,10,43,12,3808,4,15,0,0,0.18972490559564384
43,0,-1,-1,0.000100085472359,-1,5,51,433,10,2,24,5006,4,15,0,0,0.30320441112337515
562,1,-1,-1,0.000294117647059,-1,1,41,139,10,43,12,3711,4,15,0,0,0.2800851720923733
118,0,-1,-1,0.000120337614242,-1,4,20,738,7,41,12,4091,4,15,0,0,0.220233984935077
595,0,-1,-1,0.000301470581224,-1,1,51,469,10,36,12,3084,4,15,0,0,0.24463578600257185
191,1,0,1,0.000418104354074,-1,5,51,27,10,43,2,2869,6,15,0,0,0.9958334205654562
317,0,-1,-1,0.000160294122556,-1,0,51,149,10,23,12,764,4,15,0,0,0.3172038279831504
191,0,-1,-1,0.000438658789308,171,0,51,27,10,43,2,209,2,2,0,0,0.3853104925904935
370,1,-1,-1,1e-05,376898,6,51,1020,10,42,0,5278,4,9,0,0,0.6142935350963411
193,0,-1,-1,0.00031647426997,1134063,5,26,477,10,43,2,2310,5,26,0,0,0.46145050195346965
195,1,-1,-1,4.86167827074e-05,-1,0,51,856,10,36,11,5278,4,15,0,0,0.49825001908227856
369,0,-1,-1,4.85294136931e-05,-1,3,51,1231,3,48,12,5278,4,15,0,0,0.22332570815006597
212,1,-1,-1,0.000263560721784,269366,5,51,242,10,35,11,3770,4,9,0,0,0.48208764234142876
466,0,-1,-1,1.14080057863e-05,-1,6,51,650,10,12,2,5278,0,15,0,0,0.30923144398359054
545,0,-1,-1,0.000294117647059,-1,0,51,102,10,11,2,4790,8,15,0,0,0.2646802537956687
511,0,-1,-1,1e-05,-1,7,51,1089,10,36,2,2230,0,15,0,0,0.27696248296102716
567,0,-1,-1,4.58094135213e-05,871940,4,14,855,10,36,8,3272,4,26,0,0,0.2520279697998374
624,0,-1,-1,0.000293557924382,-1,4,40,943,10,26,12,5278,4,15,0,0,0.28749708866344253
519,0,-1,-1,4.86167827074e-05,-1,8,21,636,10,37,11,5278,4,15,0,0,0.39962487893661547
592,1,-1,-1,3.52941168582e-05,-1,4,20,357,10,41,2,4091,6,15,0,0,0.26845200586358886
196,0,-1,-1,7.35294117647e-05,-1,0,51,1028,10,45,12,2867,4,15,0,0,0.4049436591297324
134,0,-1,-1,0.000123201245876,1188093,5,14,285,10,36,2,4297,6,26,0,0,0.39633423796479894
89,1,-1,-1,1e-05,-1,0,14,421,10,36,2,793,2,15,0,0,0.33879677453171814
318,0,-1,-1,9.13944314507e-05,-1,7,51,162,10,23,2,1599,0,15,0,0,0.2246272939410213
630,0,-1,-1,1e-05,-1,2,40,1393,10,26,14,5278,4,15,0,0,0.23026710022733607
7,1,-1,-1,4.55997665138e-05,-1,5,46,820,10,36,17,4041,4,15,0,0,0.3706787150486061
118,0,-1,-1,5.19505099338e-05,-1,1,20,1319,10,41,10,4091,4,15,0,0,0.33186435999063696
475,1,-1,-1,0.000551902888002,1148430,2,46,1322,7,0,2,2312,9,26,0,0,0.21165187750373543
65,0,-1,-1,5.01983101581e-05,621126,0,51,618,10,43,11,1372,4,27,0,0,0.3485290378946526
169,0,-1,-1,1e-05,-1,0,47,446,10,36,14,354,4,15,0,0,0.2815655987820128
413,0,-1,-1,5.29411785743e-05,-1,1,14,312,10,36,2,5171,8,15,0,0,0.4304744656348187
572,1,-1,-1,6.94525504813e-05,-1,2,40,571,10,26,14,93,4,15,0,0,0.215572934836496
399,1,-1,-1,0.000275000000701,-1,4,14,14,7,0,2,2845,9,15,0,0,0.5343029103251226
121,1,5,12,0.000574989890822,82464,5,20,28,10,36,12,1745,4,17,0,0,0.9958334205654562
191,1,-1,-1,0.000148628459257,-1,1,51,573,10,43,2,4055,10,15,0,0,0.311326785877707
556,0,-1,-1,1.94467143978e-05,-1,0,51,850,10,36,27,1708,4,15,0,0,0.40786614308076186
101,1,-1,-1,0.000337381263386,206925,2,46,1196,10,2,14,1087,4,8,0,0,0.24895982854736048
279,1,-1,-1,0.000146817959401,313371,5,51,99,10,2,2,5245,9,9,0,0,0.5358842953100171
558,0,-1,-1,1.02941176909e-05,-1,2,51,1358,3,30,2,3572,2,15,0,0,0.13370608964234637
336,0,-1,-1,9.80099071475e-05,-1,5,51,153,10,36,14,2174,4,15,0,0,0.31968017277367866
136,1,-1,-1,0.000302421675838,268245,5,51,1386,10,36,14,870,4,8,0,0,0.36467127648826686
7,0,-1,-1,2.82140853697e-05,591170,5,46,820,10,36,2,1878,7,27,0,0,0.38787511260572743
175,0,-1,-1,7.03932537262e-05,309,3,33,474,10,23,12,3881,4,3,0,0,0.5212555784963164
274,1,-1,-1,1e-05,-1,5,33,641,10,23,2,5278,10,15,0,0,0.24660370848870922
521,0,-1,-1,1.47058825721e-05,-1,5,15,860,10,23,12,4261,4,15,0,0,0.3035450577474898
446,1,0,1,3.12644812991e-05,-1,4,14,79,10,43,2,1410,2,15,0,0,0.9958334205654562
131,0,-1,-1,3.10836907696e-05,-1,4,51,512,10,36,24,266,4,15,0,0,0.16241700011539598
446,1,-1,-1,1.92990592297e-05,-1,1,14,190,10,43,12,5067,4,15,0,0,0.4719048107975675
562,1,-1,-1,0.000132793153299,2780,5,20,682,10,43,24,4334,4,19,0,0,0.3800321807455976
196,0,-1,-1,1e-05,1049862,5,51,1028,10,45,2,1626,3,26,0,0,0.3101346788804786
464,0,-1,-1,1.91176463576e-05,-1,4,51,1153,10,36,2,4378,9,15,0,0,0.2395120545498785
349,0,-1,-1,1.11398587164e-05,389180,0,51,1237,10,24,2,5278,3,9,0,0,0.34503009475839075
98,0,-1,-1,2.59374060175e-05,-1,2,41,63,3,26,12,4492,4,15,0,0,0.13107462332047481
475,0,-1,-1,1.80924064909e-05,1470384,4,14,1322,10,0,0,1254,4,7,0,0,0.2746649577896054
7,0,-1,-1,1e-05,-1,0,46,1224,10,36,2,375,8,15,0,0,0.2326505182225824
299,0,-1,-1,1.43442456337e-05,-1,5,51,1284,10,36,2,2407,3,15,0,0,0.31631321550474606
446,0,-1,-1,1e-05,-1,5,14,190,10,43,12,1852,4,15,0,0,0.33222826354313384
456,1,-1,-1,3.08823519769e-05,-1,2,51,281,10,5,2,5278,0,15,0,0,0.29166212185188556
475,0,-1,-1,1e-05,-1,5,46,1323,10,0,14,3791,4,15,0,0,0.34621116000469004
65,0,-1,-1,2.35294112388e-05,-1,5,51,619,10,43,2,4154,1,15,0,0,0.3050290375050117
279,1,-1,-1,1e-05,-1,8,21,1073,10,2,0,5278,4,15,0,0,0.5683766768456556
430,1,-1,-1,0.00062640474725,86419,2,6,13,7,0,11,1568,4,17,0,0,0.4533371221981531
276,1,-1,-1,6.40977682149e-05,483819,5,51,524,10,40,2,5278,3,27,0,0,0.4961516921069342
102,0,-1,-1,9.67539583935e-05,-1,8,21,276,10,2,24,5278,4,15,0,0,0.2712120763225044
347,1,-1,-1,0.000149265145395,427789,5,51,603,10,2,2,5278,10,9,0,0,0.3024323308246596
475,0,-1,-1,1e-05,1728358,5,46,1323,10,0,24,3791,4,7,0,0,0.32083861435189376
68,1,-1,-1,0.000126597570812,191395,5,13,984,10,0,12,1777,4,8,0,0,0.6528863952910701
567,1,-1,-1,0.000160294122556,-1,4,14,855,7,36,12,3912,4,15,0,0,0.20285749239415793
34,0,-1,-1,0.00338195404955,7087,2,51,810,3,0,11,76,4,11,0,0,0.36806040355237
502,0,-1,-1,0.00067894912376,17145,5,51,1135,10,2,2,4459,9,0,0,0,0.4944782121881497
597,0,-1,-1,0.000174785832018,90834,2,46,1260,16,36,12,4100,4,17,0,0,0.1723123779734175
253,0,-1,-1,7.00081709553e-05,-1,7,51,1388,10,36,20,5250,4,15,0,0,0.35165260734954296
521,0,-1,-1,0.000113235291313,-1,3,15,861,10,23,2,1867,7,15,0,0,0.1506967823483741
435,0,-1,-1,0.00107828814385,88500,4,14,1058,7,43,24,4724,4,17,0,0,0.3234391330036895
446,0,-1,-1,1e-05,1735006,5,14,576,10,43,2,4618,8,7,0,0,0.19797021553794963
399,0,-1,-1,0.000442186304054,720891,2,14,14,10,0,2,2845,10,27,0,0,0.19613209052153763
475,0,-1,-1,8.67969282922e-05,1664599,2,46,1322,10,0,14,3581,4,7,0,0,0.20046838594999264
446,0,-1,-1,0.000467689922208,68,4,14,190,7,43,2,3808,7,13,0,0,0.44909511124982215
520,0,-1,-1,6.1764703954e-05,-1,5,14,32,10,43,2,4952,6,15,0,0,0.46034425015819647
611,1,-1,-1,2.35294112388e-05,-1,4,14,315,7,36,2,4334,8,15,0,0,0.2420798082018302
446,0,-1,-1,1e-05,-1,5,14,190,10,43,2,3808,9,15,0,0,0.4141677250824324
475,0,-1,-1,6.94525504813e-05,-1,3,46,1322,7,0,23,3581,4,15,0,0,0.22012144725791408
555,1,-1,-1,1e-05,1768550,0,14,634,10,2,0,5278,4,7,0,0,0.41416386706368075
51,0,-1,-1,5.42850555975e-05,513257,2,51,873,10,36,12,5278,4,27,0,0,0.32738445502905633
627,1,0,1,0.00042502130936,678,2,36,1102,15,26,12,370,4,22,0,0,0.9958334205654562
89,1,-1,-1,3.52869707643e-05,54,5,14,1211,10,36,2,793,2,13,0,0,0.6210548488985854
463,0,-1,-1,4.46760479141e-05,-1,5,51,800,10,24,14,5278,4,15,0,0,0.3730421546962564
627,1,3,5,0.000494071401267,86455,2,26,989,7,26,2,370,2,17,0,0,0.9958334205654562
32,0,-1,-1,0.000108303848435,-1,1,51,994,10,46,12,2642,4,15,0,0,0.29987119267011303
615,0,-1,-1,2.38686430723e-05,1067587,4,51,1367,10,2,2,876,0,26,0,0,0.2397971685055629
117,0,-1,-1,1.62112088326e-05,-1,0,14,1229,10,36,2,2768,8,15,0,0,0.24382228336261436
7,1,-1,-1,0.00151132669915,92907,3,14,880,10,36,2,163,5,17,0,0,0.48200567975745484
366,0,-1,-1,4.59017040347e-05,4451,5,14,890,10,37,24,540,4,10,0,0,0.37462705403484553
567,0,-1,-1,2.9003866446e-05,873582,5,14,773,10,36,2,1903,7,26,0,0,0.3098227758276081
504,1,-1,-1,0.000237830544219,-1,1,14,1112,10,36,11,3812,4,15,0,0,0.36100528480024646
446,0,-1,-1,1e-05,-1,1,14,190,10,43,2,1587,8,15,0,0,0.40002388231959224
430,1,-1,-1,5.31578541295e-05,11885,5,6,13,10,0,12,4813,4,1,0,0,0.6525470060701174
279,0,-1,-1,1e-05,1912682,7,51,1072,10,2,2,2428,10,7,0,0,0.10834363028587529
280,0,-1,-1,0.000154432331842,2004391,0,51,1025,10,37,12,1881,4,6,0,0,0.251075475532876
389,0,-1,-1,4.6120356111e-05,-1,5,51,212,10,25,12,4168,4,15,0,0,0.33382932681179517
224,0,-1,-1,4.41256035081e-05,1943893,0,14,372,10,37,2,4871,2,7,0,0,0.3242408737594009
446,1,0,4,0.00037356023621,40979,2,14,936,7,43,2,280,5,29,0,0,0.9958334205654562
7,1,-1,-1,0.000208400663207,-1,4,14,1134,7,36,2,375,5,15,0,0,0.2673363619199149
299,1,-1,-1,0.000216607696869,-1,0,51,1284,10,36,12,5075,4,15,0,0,0.5212428032370157
67,0,-1,-1,1.47058825721e-05,-1,4,51,966,10,22,5,5278,4,15,0,0,0.23812778180103444
313,1,-1,-1,0.00014281838681,173187,5,51,585,10,45,12,2108,4,8,0,0,0.5340230713021584
581,1,-1,-1,1.4440513709e-05,-1,5,51,887,10,14,18,2161,4,15,0,0,0.3592646249246937
626,0,-1,-1,5.33125957319e-05,1313014,3,40,460,10,26,20,4136,4,7,0,0,0.23762892729477136
504,1,-1,-1,9.54576206848e-05,314435,4,51,1112,10,36,12,5369,4,9,0,0,0.4143126349598617
279,0,-1,-1,5.69510898169e-05,-1,5,51,99,10,2,2,928,3,15,0,0,0.3345193227696618
222,0,-1,-1,1.40313661712e-05,-1,0,14,938,10,11,2,2022,7,15,0,0,0.226538774404662
521,0,-1,-1,0.000223728633339,367752,5,14,129,10,23,2,4952,1,9,0,0,0.4154031254352181
7,1,-1,-1,0.000544599890709,-1,2,14,880,10,36,2,365,0,15,0,0,0.20798646175318708
106,0,-1,-1,3.12607452717e-05,196036,0,51,1217,10,36,12,2927,4,8,0,0,0.37493786486725733
51,0,-1,-1,0.00026387052112,29496,5,51,874,10,36,8,5278,4,28,0,0,0.5911805785633556
279,1,-1,-1,2.94117651441e-05,-1,5,51,99,10,2,12,3956,4,15,0,0,0.3501768053015405
172,0,-1,-1,2.3432818844e-05,-1,7,11,361,10,26,26,2381,4,15,0,0,0.28369953434526246
362,1,-1,-1,8.55854681161e-05,435433,5,51,556,10,46,5,5278,4,9,0,0,0.4689602795222399
196,1,-1,-1,0.000195588241606,-1,5,51,1028,10,45,2,1626,1,15,0,0,0.29411425923534024
518,1,-1,-1,1e-05,-1,1,51,719,10,2,2,2938,7,15,0,0,0.4784192735598972
373,1,-1,-1,2.50000002629e-05,-1,5,14,1017,10,14,2,1291,1,15,0,0,0.2560306966374092
446,0,-1,-1,1.47058825721e-05,-1,4,14,190,10,43,12,3371,4,15,0,0,0.20179131270409476
435,0,-1,-1,1.98794690684e-05,1644041,5,14,1058,10,43,20,2925,4,7,0,0,0.28457742936134883
121,0,-1,-1,1e-05,-1,0,41,1115,10,36,2,432,3,15,0,0,0.2879571780574722
463,0,-1,-1,0.000138905100963,-1,4,51,726,7,24,11,5278,4,15,0,0,0.23469614006604572
375,0,-1,-1,1e-05,-1,5,51,651,10,16,19,3388,4,15,0,0,0.3188676215645815
30,0,-1,-1,0.000162718829197,752726,5,14,671,10,22,2,5336,1,26,0,0,0.4732449571295405
630,0,-1,-1,0.000107104216283,711923,2,32,1393,10,26,14,3981,4,27,0,0,0.17608850824156194
562,0,-1,-1,0.00015599082703,1067050,5,20,889,10,43,20,4234,4,26,0,0,0.2645372047458753
399,1,-1,-1,0.000144117649864,-1,5,14,918,10,0,2,2845,6,15,0,0,0.660956799074814
348,0,-1,-1,1.34614499051e-05,607001,5,51,11,10,46,12,4607,4,27,0,0,0.31833041060674094
623,1,1,3,1.38331886097e-05,1733729,5,14,1302,10,1,11,2166,4,7,0,0,0.9958334205654562
51,1,-1,-1,6.35604735682e-05,-1,5,51,874,10,36,12,5278,4,15,0,0,0.46233534222059897
483,0,-1,-1,7.26694025894e-05,701761,5,51,950,10,37,21,1320,4,27,0,0,0.3105111904244723
636,1,-1,-1,8.51894126219e-05,-1,5,51,24,10,0,8,2889,4,15,0,0,0.6080806622066132
156,0,-1,-1,1e-05,-1,8,21,209,10,41,11,5278,4,15,0,0,0.38253192108939915
446,1,-1,-1,1.35179663844e-05,-1,5,14,190,10,43,17,1410,4,15,0,0,0.37244625528854364
623,1,0,1,0.000592647089678,-1,2,35,554,3,1,2,2234,3,15,0,0,0.9958334205654562
446,0,-1,-1,7.7196236919e-05,-1,5,14,190,10,43,12,1963,4,15,0,0,0.33222826354313384
258,0,-1,-1,0.000101588337491,130975,1,14,87,10,1,5,1016,4,16,0,0,0.32087827063141255
299,0,-1,-1,1e-05,-1,7,51,1284,10,36,2,5075,10,15,0,0,0.24902938436500682
615,0,-1,-1,2.65002460992e-05,1578542,4,51,1367,10,2,2,5323,7,7,0,0,0.20825901772740432
518,1,-1,-1,7.15934935089e-05,77934,5,51,719,10,2,2,3816,7,17,0,0,0.5596892864516599
138,0,-1,-1,0.00013235293767,-1,1,14,151,10,45,12,5306,4,15,0,0,0.4666086821164323
617,0,-1,-1,0.000256631987937,-1,0,51,12,10,8,2,1750,0,15,0,0,0.39271638076391796
169,1,-1,-1,3.80093947515e-05,896853,5,47,1348,10,36,12,4736,4,26,0,0,0.3286777072423435
563,0,-1,-1,5.75703875705e-05,1855093,5,51,1154,10,36,7,5387,4,7,0,0,0.3102633681983527
508,1,-1,-1,1.1847214284e-05,1211719,0,51,1149,10,36,2,5278,7,7,0,0,0.40836861167232813
395,0,-1,-1,5.88235302882e-05,-1,5,51,423,10,36,8,4700,4,15,0,0,0.31077525115980004
527,0,-1,-1,2.94117651441e-05,-1,1,51,1208,10,36,2,2176,7,15,0,0,0.2650864029689035
67,1,-1,-1,0.000382352927151,-1,5,51,966,10,22,12,5278,4,15,0,0,0.4483012568012354
395,1,-1,-1,1.47236431301e-05,1563527,7,51,423,10,36,12,2458,4,7,0,0,0.26352414920941086
623,1,-1,-1,5.29411785743e-05,-1,1,14,1302,10,1,2,2661,8,15,0,0,0.3158421466200059
548,0,-1,-1,0.000118069341954,-1,4,14,607,7,2,23,25,4,15,0,0,0.1295782955932205
559,1,-1,-1,2.64705892872e-05,-1,6,51,780,10,0,12,5278,4,15,0,0,0.5970548637523341
521,1,-1,-1,0.000548038373087,95297,5,14,963,10,23,17,3559,4,17,0,0,0.31676162484898024
376,0,-1,-1,1.91176463576e-05,-1,5,14,1226,10,36,2,2701,1,15,0,0,0.26741972109177486
600,0,-1,-1,2.58823528009e-05,-1,6,51,883,10,0,2,5278,8,15,0,0,0.5175499147488176
373,0,-1,-1,0.000107352943981,-1,4,46,1103,10,14,2,2794,5,15,0,0,0.22822600166477858
463,0,-1,-1,6.61764688351e-05,-1,0,51,800,10,24,12,5278,4,15,0,0,0.4712446765663323
446,0,-1,-1,1.98087702396e-05,946516,5,14,936,10,43,2,1963,8,26,0,0,0.1815814558566686
85,0,-1,-1,4.66475285151e-05,-1,8,51,47,10,43,11,5278,4,15,0,0,0.36920997897223445
469,0,-1,-1,1.39705902513e-05,-1,4,2,697,10,36,2,5278,9,15,0,0,0.3056261605476172
521,1,-1,-1,9.44533465938e-05,6,5,14,963,10,23,0,3559,4,4,0,0,0.5171534111601854
411,0,-1,-1,1e-05,-1,0,51,1169,10,27,5,2762,4,15,0,0,0.21818275480609986
196,1,-1,-1,4.72277359051e-05,-1,5,51,1028,10,45,11,1626,4,15,0,0,0.37175675114383094
136,0,-1,-1,1e-05,-1,6,51,1386,10,36,2,5278,3,15,0,0,0.3195921433245105
435,0,-1,-1,4.97688309235e-05,-1,0,14,1058,10,43,7,4724,4,15,0,0,0.25836363401071827
474,0,-1,-1,5.50064181581e-05,-1,5,51,152,10,36,20,2121,4,15,0,0,0.40010100993403813
138,0,-1,-1,1e-05,-1,7,14,151,10,45,2,3587,4,15,0,0,0.23413456522066353
446,0,-1,-1,3.62822347704e-05,-1,0,14,576,10,43,2,4745,1,15,0,0,0.33457161588829193
372,0,-1,-1,3.15341580311e-05,802115,7,51,115,10,14,8,5278,4,26,0,0,0.40346816314779005
455,0,-1,-1,0.000107868655881,887365,6,51,371,10,3,12,5278,4,26,0,0,0.32900272908298356
301,0,-1,-1,1e-05,-1,7,46,1324,10,36,12,1106,4,15,0,0,0.3079630444609178
92,0,-1,-1,2.2159676022e-05,1297286,5,51,983,10,37,5,2666,4,7,0,0,0.22322275052160845
112,1,-1,-1,1e-05,-1,7,51,455,10,36,2,5278,8,15,0,0,0.34370417902593264
77,1,-1,-1,0.000116296260008,448848,5,51,117,10,36,12,5278,4,27,0,0,0.47371467801448547
222,0,-1,-1,1e-05,-1,5,14,938,10,11,2,4470,8,15,0,0,0.17609689803378578
541,0,-1,-1,5.13948894599e-05,-1,0,51,1347,10,2,2,5278,2,15,0,0,0.4896069578172965
75,0,-1,-1,4.11764707635e-05,-1,1,14,211,10,11,2,5278,1,15,0,0,0.3639458791861258
398,1,0,1,0.000138227255905,-1,4,41,140,10,43,12,4334,4,15,0,0,0.9958334205654562
19,1,1,3,0.000288759972165,454576,2,51,1079,10,36,12,2064,4,27,0,0,0.9958334205654562
7,0,-1,-1,2.09628133213e-05,-1,2,14,1134,8,36,2,4041,2,15,0,0,0.15954920303707418
541,0,-1,-1,1e-05,-1,0,51,1347,10,2,2,5278,2,15,0,0,0.4896069578172965
123,1,-1,-1,0.000545014777544,1144051,5,51,637,10,2,2,4276,5,26,0,0,0.5183397712878915
51,0,-1,-1,0.000251074258019,-1,5,51,874,10,36,15,5278,4,15,0,0,0.44535326758596955
7,1,-1,-1,0.000120337614242,-1,1,46,820,10,36,12,375,4,15,0,0,0.37725296377776796
276,1,-1,-1,0.00024837993967,100,5,51,524,10,40,2,5278,3,12,0,0,0.7246782082854414
195,0,-1,-1,1e-05,1917755,5,51,856,10,36,2,5278,7,7,0,0,0.3187669842877787
518,1,-1,-1,5.53890495165e-05,832,5,51,719,10,2,2,209,8,22,0,0,0.644217567217152
261,0,-1,-1,0.000288248658181,-1,4,51,688,10,2,11,528,4,15,0,0,0.2070872888136188
314,0,-1,-1,1.38905107537e-05,-1,4,14,495,10,14,20,5278,4,15,0,0,0.26275290504530746
7,0,-1,-1,1.36174337728e-05,385725,5,14,880,10,36,2,375,2,9,0,0,0.36165578410998617
71,1,-1,-1,0.000135387335127,161426,5,46,1315,10,43,12,1946,4,16,0,0,0.4064851499669437
608,0,-1,-1,4.72277359051e-05,-1,4,14,416,10,37,14,1862,4,15,0,0,0.21976310247038686
532,0,-1,-1,2.36655012341e-05,619020,5,51,699,10,43,20,682,4,27,0,0,0.32988220127925744
552,0,-1,-1,1.76470584291e-05,-1,4,14,172,10,36,5,4789,4,15,0,0,0.20347984901675437
279,0,-1,-1,6.11182433718e-05,-1,4,51,99,10,2,14,687,4,15,0,0,0.16033361109669686
595,0,-1,-1,0.000117647060577,-1,5,51,469,10,36,2,3084,8,15,0,0,0.32432348169742636
435,0,-1,-1,7.70922289469e-05,446606,5,14,1126,10,43,9,188,4,27,0,0,0.3550474063415435
624,1,-1,-1,0.000175891185507,-1,3,38,947,7,26,2,3658,8,15,0,0,0.1113542979287977
498,1,-1,-1,5.41729874471e-05,-1,5,3,1085,10,36,11,5278,4,15,0,0,0.41750971729284797
52,1,-1,-1,5.67982959397e-05,-1,0,51,762,10,45,14,2395,4,15,0,0,0.3317872473717826
518,1,-1,-1,0.00012770311874,187,5,51,719,10,2,14,4964,4,2,0,0,0.6543170905173072
519,0,-1,-1,5.41729874471e-05,-1,8,21,636,10,37,11,5278,4,15,0,0,0.39962487893661547
518,1,1,3,0.000155758178137,641574,3,51,248,10,2,2,209,1,27,0,0,0.9958334205654562
389,0,-1,-1,9.55882317879e-05,-1,5,51,212,10,25,12,2612,4,15,0,0,0.364499450525052
138,0,-1,-1,1e-05,-1,1,14,151,10,45,2,4559,1,15,0,0,0.29899110239439186
435,0,-1,-1,6.03369629893e-05,1951424,5,14,1057,10,43,17,1722,4,7,0,0,0.2670750115737313
260,1,-1,-1,4.42514130299e-05,-1,5,14,1290,10,43,11,134,4,15,0,0,0.39524764956334885
446,1,-1,-1,1e-05,-1,5,14,190,10,43,5,3371,4,15,0,0,0.25676812136758187
475,1,-1,-1,3.17129350337e-05,169623,5,46,1323,10,0,11,4898,4,8,0,0,0.6580711272437375
614,0,-1,-1,2.33360577156e-05,-1,3,51,1366,10,2,24,5387,4,15,0,0,0.19949720256355727
291,1,3,8,6.68623737817e-05,268701,2,51,659,10,42,2,53,2,9,0,0,0.9958334205654562
489,0,-1,-1,1.11124072881e-05,-1,4,51,706,10,42,0,3088,4,15,0,0,0.29599435495997856
552,1,0,5,0.00064003696986,575387,5,14,15,7,36,24,969,4,27,0,0,0.9958334205654562
552,1,1,5,0.000925934348624,1,5,14,15,7,36,24,969,4,14,0,0,0.9958334205654562
136,0,-1,-1,1.38905107537e-05,-1,8,21,1116,10,36,20,5278,4,15,0,0,0.38925563298974003
65,0,-1,-1,6.61764688351e-05,-1,0,51,622,10,43,12,587,4,15,0,0,0.38727381321685556
381,0,-1,-1,7.79411722632e-05,-1,1,51,968,10,36,2,774,6,15,0,0,0.3478472738708735
172,0,-1,-1,3.23529410012e-05,-1,3,41,816,7,26,2,2171,0,15,0,0,0.17955924955126412
360,0,-1,-1,1e-05,-1,1,46,497,10,2,24,2387,4,15,0,0,0.3170942317711971
373,0,-1,-1,1.49999997196e-05,-1,5,14,1103,10,14,2,1291,1,15,0,0,0.25263252782466517
136,1,-1,-1,7.0701359826e-05,-1,5,51,1386,10,36,2,3871,3,15,0,0,0.2480958735375811
101,0,-1,-1,0.000367647058824,-1,5,14,728,10,2,2,1087,8,15,0,0,0.2784447565683248
304,0,-1,-1,1.97594371788e-05,-1,8,51,1311,10,5,2,5278,6,15,0,0,0.42598786988017706
430,1,-1,-1,4.29351959115e-05,1050,5,6,13,10,0,11,4084,4,22,0,0,0.6459504572802347
169,1,-1,-1,0.000902259013926,84950,5,47,1348,10,36,12,4738,4,17,0,0,0.43204168655415953
114,0,-1,-1,1.38905107537e-05,-1,8,21,167,10,36,20,5278,4,15,0,0,0.3649201755859369
299,0,-1,-1,0.000117930857574,-1,7,51,1284,10,36,12,1386,4,15,0,0,0.3360699557502523
93,1,-1,-1,8.23900711708e-05,792382,5,51,1352,10,37,2,2259,4,26,0,0,0.22495153568937978
399,1,0,4,0.00141960773573,736,2,14,918,7,0,2,2845,8,22,0,0,0.9958334205654562
81,1,-1,-1,0.000260294114843,-1,0,35,1220,10,32,2,5278,3,15,0,0,0.3211057988994787
191,1,-1,-1,0.000181965670165,-1,0,51,573,10,43,2,1969,1,15,0,0,0.3467274999649793
169,1,-1,-1,0.000123065052664,-1,5,47,1144,10,36,14,681,4,15,0,0,0.3048458861941674
613,1,-1,-1,2.94117651441e-05,-1,5,51,382,10,2,8,5278,4,15,0,0,0.43303662010664246
627,0,-1,-1,7.37523594324e-05,-1,7,11,456,10,26,11,370,4,15,0,0,0.32129528113558625
317,1,-1,-1,0.000320662295118,-1,7,51,149,10,23,11,1114,4,15,0,0,0.29916421597458875
213,0,-1,-1,0.000174868252277,232,5,51,184,10,36,24,5278,4,2,0,0,0.584045569149057
117,0,-1,-1,1e-05,-1,0,14,1229,10,36,12,331,4,15,0,0,0.37188850495711573
